,category,copyright_or_license__information,description,download,language,last_updated,metadata,recorded,speakers,tags,video_origin,youtube_dislikes,youtube_likes,youtube_views,youtube_net_likes
20,PyCon AU 2014,http://www.youtube.com/t/terms,"In 2013 I purchased a Ninja Block (http://ninjablocks.com/) and wanted to add a camera based sensor to it. So began my adventures in computer vision using python. The talk will discuss the various libraries (including PyOpenCV & SimpleCV ) available for python to perform CV tasks like motion detection, object tracking & facial recognition. As my goals for the camera sensor underwent ""feature creep"" the project required it's own dedicated processing power, so a BeagleBone Black & later a Raspberry Pi were purchased and the project became a IoT device. I will also share my experiences with developing python CV solutions ARM based computers. If the demo gods are willing, code examples will be demonstrated.",ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Mark Rees,,http://www.youtube.com/watch?v=WlgMwSHyXcg,2.0,2.0,160.0,0.0
21,PyCon AU 2014,http://www.youtube.com/t/terms,"Software Carpentry is a volunteer organisation that teaches basic software skills to researchers in science, engineering and medicine. Supported by the Mozilla Science Lab, it runs two-day bootcamps all over the world, provides open access material for self-paced instruction, and runs a training program for aspiring instructors. The core two-day curriculum includes the Unix shell (and how to automate repetitive tasks); Python or R (and how to grow a program in a modular, testable way); Git and GitHub (and how to track and share work efficiently); and SQL (and the difference between structured and unstructured data).     
While the organisation has been around for over a decade, it had a breakout year in 2013. The number of qualified instructors swelled to over 100 and collectively they ran over 100 events for over 4300 researchers in a dozen countries. To kick things off in Australia, the founder of Software Carpentry (Dr. Greg Wilson) visited Sydney and Melbourne in February 2013 to host the first ever bootcamps outside of Europe and North America. Since that visit five local instructors have been trained up and have delivered an additional ten bootcamps around the country.
This presentation will review the first year of Software Carpentry activities in Australia, with a particular focus on the key lessons learned in teaching computational best practices to the research community. Future plans and directions will also be outlined, including an overview of an innovative new project called the Research Bazaar. Coordinated out of The University of Melbourne, this project has started offering regular bootcamps to researchers in the Melbourne area and looks set to inspire widespread institutional support for bootcamp delivery. The Software Carpentry teaching materials are also undergoing rapid development, with work on an advanced curriculum and new lessons on “data carpentry” already underway. There are very few examples of open, collaborative lesson development in the education sector, so the application of routine software development practices in this space (e.g. version control, pull requests, and the progressive release of new versions) is somewhat ground breaking.",ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Damien Irving,,http://www.youtube.com/watch?v=sQ12NmsLfsg,1.0,2.0,148.0,1.0
22,PyCon AU 2014,http://www.youtube.com/t/terms,"Do you know if it’s worth upgrading your Spotify account to stream songs at 320kb/s?
An understanding of the fundamentals of computer sound is essential for the well-rounded IT professional. Audio is a field that is teeming with jargon, but it doesn’t have to be so scary! In this session we’ll go back to basics and take a look at the core components of sound, including how we (as humans) perceive sounds, and how we can represent them within a computer. By the end of this session, you'll know enough to go home and create your own simple synthesiser!",ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Sebastian Beswick,,http://www.youtube.com/watch?v=RGhmPyJKcjU,0.0,1.0,84.0,1.0
23,PyCon AU 2014,http://www.youtube.com/t/terms,,ogg,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Matthew Treinish,,http://www.youtube.com/watch?v=KBvPj_QFnQY,0.0,1.0,113.0,1.0
24,PyCon AU 2014,http://www.youtube.com/t/terms,"The Django community is full of amazing, enthusiastic and multi-talented individuals who love to take on exciting new extra-curricular projects in their massive amounts of spare time. 
A Django podcast is an excellent example of this kind of project and it is one that has been taken up no less than 5 times so far.
I am the latest to take up this torch.
This has so far been an amazing, educational, exhilarating experience: I have had the honour of gathering the thoughts of some of the best, brightest and most prolific in our community. It's been a load of work but also a load of fun.
Come hear the story of how this has happened, and come to learn how you can be part of the greater Django information and communication machinery.
PyCon Australia is the national conference for users of the Python Programming Language. In August 2014, we're heading to Brisbane to bring together students, enthusiasts, and professionals with a love of Python from around Australia, and all around the World. 
August 1-5, Brisbane, Queensland, Australia",,English,2014-08-14 00:00:00,JSON,2014-08-11 00:00:00,Elena Williams,,http://www.youtube.com/watch?v=VQXG_I0wgeo,,,,
25,PyCon AU 2014,http://creativecommons.org/licenses/by/3.0/,"Writing a program in Python targeting the Android environment is well within your reach with the use of third party kits such as Kivy and the Pygame Subset for Android.  
Kivy is an ""Open source Python library for rapid development of applications"" and comes with tools which allow Kivy based programs to be packaged as Android apks for deployment to Android devices.   In this session I will give an overview of the Kivy development and deployment process.  I will also draw inspiration from my successes and failures in developing Python programs with Kivy to highlight Kivy's strengths, weaknesses and idiosyncracies.   Code examples will be kept to a minimum, with a focus on illustrating the capabilities of the Kivy library and explaining how its parts work together. 
I will also reserve some time to discuss the Pygame Subset for Android and how it can be used to deploy Pygame based games to Android devices.",ogg,English,2014-08-14 00:00:00,JSON,2014-08-09 00:00:00,Brendan Scott,,http://www.youtube.com/watch?v=4KPcBOpC-rw,0.0,0.0,206.0,0.0
26,PyCon AU 2014,http://creativecommons.org/licenses/by/3.0/,,ogg,English,2014-08-14 00:00:00,JSON,2014-08-09 00:00:00,Tony Morris,,http://www.youtube.com/watch?v=uqsZa36Io2M,2.0,15.0,1138.0,13.0
27,PyCon AU 2014,http://creativecommons.org/licenses/by/3.0/,,ogg,English,2014-08-14 00:00:00,JSON,2014-08-09 00:00:00,Christophe Pettus,,http://www.youtube.com/watch?v=ppwT0u98TmQ,1.0,0.0,191.0,-1.0
28,PyCon AU 2014,http://creativecommons.org/licenses/by/3.0/,,ogg,English,2014-08-14 00:00:00,JSON,2014-08-09 00:00:00,Jacob Haslehurst,,http://www.youtube.com/watch?v=VvvKP_GaPmw,1.0,3.0,222.0,2.0
29,PyCon AU 2014,http://creativecommons.org/licenses/by/3.0/,"Graph and network structures are everywhere and can be found in social, biological and technological networks that impact us on a daily basis. Understanding, and exploiting, graphical structures creates opportunities for obtaining new analytic insights, implementing new computational paradigms, and better defining the relationship between objects of any sort.
Python provides access to these graph and network structures using the fantastic NetworkX library (http://networkx.github.io/) .  In this presentation we will give an introduction to the NetworkX library, showing how easy it is to build and exploit simple graphical and network structures.
From that starting point we will then discuss a number of more complicated, real world examples of how the NetworkX library can be used to:
 - Analyse social networks to extract valuable information about people / entities within those networks.
 - Implement reconfigurable processing pipelines (something we refer to as computational graphs) for data capture, processing and analytics.
 - Easily track the relationship between Python objects in a variety of other interesting and useful scenarios.
This presentation will be targeted at intermediate developers and no prior experience with graphs, networks or NetworkX is required. This presentation will offer an easy introduction to the world of networks and graphs in Python and will illustrate real world uses of this powerful and useful paradigm.",ogg,English,2014-08-14 00:00:00,JSON,2014-08-09 00:00:00,Lachlan Blackhall,,http://www.youtube.com/watch?v=1q7FBxy1Rds,1.0,14.0,577.0,13.0
